Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
LogIn Get,200,14761,8,70697,18936.47,1.500%,2.44535,15.06,0.66,6306.6
LogIn Post,200,43944,2308,76263,19941.35,57.500%,2.10606,243.39,1.14,118338.4
selectGet,200,17388,1129,60128,9485.99,7.500%,2.15232,59.00,1.46,28070.7
selectPost,200,5963,107,32516,5083.27,15.000%,2.17354,38.35,0.84,18067.8
TOTAL,800,20514,8,76263,20467.26,20.375%,8.23503,343.36,3.86,42695.9
