Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
LogIn Get,200,14148,7,47495,17603.25,0.500%,3.26990,20.28,0.90,6349.5
LogIn Post,200,55181,3024,97892,20505.91,70.500%,1.83981,259.96,0.95,144690.8
insertGet,200,18757,454,62176,14918.35,78.500%,1.83172,158.58,0.61,88651.7
insertPost,200,10860,379,58241,12524.77,89.500%,1.80598,48.54,0.85,27523.8
result_insert,200,2834,196,53661,5976.08,5.500%,1.77082,31.66,0.84,18304.9
home,200,1613,125,44630,3349.72,1.500%,1.75920,16.47,0.47,9585.0
TOTAL,1200,17232,7,97892,22732.24,41.000%,10.09421,484.84,3.94,49184.3
