Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
LogIn Get,100,42,6,268,49.69,0.000%,3.35244,20.86,0.92,6371.0
LogIn Post,100,6837,1122,17205,6056.51,0.000%,2.34187,15.65,1.40,6841.0
selectGet,100,428,50,1565,409.19,0.000%,2.36440,14.05,1.66,6087.0
selectPost,100,388,50,1392,358.91,0.000%,2.35449,13.32,0.95,5793.0
TOTAL,400,1924,6,17205,4161.08,0.000%,9.15667,56.09,4.53,6273.0
