Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
LogIn Get,200,17345,6,81243,20238.10,2.500%,2.21457,13.55,0.60,6263.7
LogIn Post,200,48087,3076,89790,22954.53,44.500%,1.66606,147.57,1.36,90699.1
home,200,23513,815,54023,10176.60,45.000%,1.61736,160.04,0.74,101325.2
LogOut Get,200,15261,436,47562,11616.15,28.500%,1.62480,108.84,1.82,68592.8
TOTAL,800,26052,6,89790,21559.34,30.125%,6.27958,409.16,4.18,66720.2
