Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
LogIn Get,100,62,6,595,99.14,0.000%,3.34180,20.79,0.93,6371.0
LogIn Post,100,6826,1215,16783,5905.13,0.000%,2.34121,15.64,2.11,6841.0
home,100,338,71,847,259.70,0.000%,2.38977,14.58,0.94,6248.0
LogOut Get,100,656,171,2535,514.61,0.000%,2.37767,18.18,3.37,7829.0
TOTAL,400,1971,6,16783,4087.17,0.000%,9.22275,61.45,6.89,6822.2
